[游客] [7/3/2018, 7:04:54 AM] [::ffff:46.188.42.254] [:] [GET] [http://www.al.wtianyu.com:3060/node/index] [Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)]
[wangyu] [7/3/2018, 2:47:12 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153059665904320032] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:24 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:25 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:37 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:45 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:51 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060037096020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36][wangyu] [7/3/2018, 2:47:51 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]

[wangyu] [7/3/2018, 2:47:52 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060037096020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:52 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:55 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:55 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:47:55 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060037096020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:00 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:00 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060037096020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:00 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:02 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/nextNode?number=196] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:12 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/nextNode?number=196] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:17 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:19 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060037096020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:19 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:20 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/nextNode?number=196] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:22 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/nextNode?number=195] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:26 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?title=面试] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 2:48:32 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153059665904320032] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:08:36 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:08:37 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:13:16 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:13:18 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:13:21 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060199691520098] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:13:21 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:14:05 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=153059662991723060] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:33:53 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=153060037096020020] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:34:00 PM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:34:10 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?catagoryId=152091448274323068] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
[wangyu] [7/3/2018, 3:34:22 PM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?title=HashMap,HashSet,Hash] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36]
